ID_Departamento,Departamento
1,Guatemala
2,Alta Verapaz
3,Quetzaltenango
4,Sacatepéquez
5,Chimaltenango
6,Suchitepéquez
7,Chiquimula
8,Quiché
9,Retalhuleu
10,Santa Rosa
11,Jutiapa
12,Jalapa
13,Petén
14,Escuintla
15,El Progreso
16,Totonicapán
17,Sololá
18,San Marcos
19,Izabal
20,Zacapa
21,Guate
22,Huehuetenango
23,Baja Verapaz
24,Xela
